"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"CC-CVN2_p57",441,63,0.142857142857143,46,0.104308390022676,395,17,412,0.104308390022676,0.895691609977324,0.26984126984127,2.72123861068913,0.947151335412622,2.8813599616291,0.73015873015873,0.104308390022676,0.182539682539683,15.7848415289246,"p57","CC-CVN2"
"CC-CVN2_p58",441,88,0.199546485260771,68,0.154195011337868,373,20,393,0.154195011337868,0.845804988662131,0.227272727272727,2.65343409308733,0.918380640039848,2.80787027591344,0.772727272727273,0.154195011337868,0.257088846880907,10.9217895291045,"p58","CC-CVN2"
"CC-CVN2_p59",441,64,0.145124716553288,47,0.106575963718821,394,17,411,0.106575963718821,0.893424036281179,0.265625,2.65904542652563,0.976499414430433,2.83267959478474,0.734375,0.106575963718821,0.186138613861386,15.2181190996414,"p59","CC-CVN2"
"CC-CVN2_p60",441,86,0.195011337868481,63,0.142857142857143,378,23,401,0.142857142857143,0.857142857142857,0.267441860465116,2.6385857332,0.976865037549866,2.81360977625432,0.732558139534884,0.142857142857143,0.239089184060721,11.7680345403653,"p60","CC-CVN2"
"CC-CVN2_p61",441,38,0.0861678004535147,34,0.0770975056689342,407,4,411,0.0770975056689342,0.922902494331066,0.105263157894737,2.66090428467296,0.883570164329986,2.80376672486942,0.894736842105263,0.0770975056689342,0.1419624217119,19.750062664889,"p61","CC-CVN2"
"CC-CVN2_p62",441,59,0.133786848072562,47,0.106575963718821,394,12,406,0.106575963718821,0.893424036281179,0.203389830508475,2.54650468697295,1.11471258579787,2.77979680367314,0.796610169491525,0.106575963718821,0.188,14.7861532110273,"p62","CC-CVN2"
"CC-CVN2_p63",441,35,0.0793650793650794,32,0.072562358276644,409,3,412,0.072562358276644,0.927437641723356,0.0857142857142857,2.79316358401285,1.01547371950238,2.97202787370097,0.914285714285714,0.072562358276644,0.134453781512605,22.104457310651,"p63","CC-CVN2"
"CC-CVN2_p64",441,55,0.124716553287982,50,0.113378684807256,391,5,396,0.113378684807256,0.886621315192744,0.0909090909090909,2.75813803283645,0.942116510841414,2.91460270503184,0.909090909090909,0.113378684807256,0.201612903225806,14.4564294169579,"p64","CC-CVN2"
"CC-CVN2_p65",441,35,0.0793650793650794,32,0.072562358276644,409,3,412,0.072562358276644,0.927437641723356,0.0857142857142857,2.7483843714822,1.08172785683369,2.95359980526435,0.914285714285714,0.072562358276644,0.134453781512605,21.9673985516536,"p65","CC-CVN2"
"CC-CVN2_p66",441,48,0.108843537414966,39,0.0884353741496599,402,9,411,0.0884353741496599,0.91156462585034,0.1875,2.60826328916974,1.0859126847838,2.82528648894319,0.8125,0.0884353741496599,0.159509202453988,17.7123729883746,"p66","CC-CVN2"
