"src","pair_id","treeID","obs","pred","Zobs","Xobs","Yobs","Zpred","Xpred","Ypred","dxy","dz","dxyz","site"
0,106,5096,NA,181,4.8,327951.212952556,4309994.47162005,7.349,327949.75,4309992.25,2.66004244491112,2.549,3.68418604426117,"SG-SWR1"
0,107,5103,NA,224,4.8,327951.259845074,4309989.39781271,6.537,327952.75,4309985.75,3.94044404151565,1.737,4.30630563758731,"SG-SWR1"
0,NA,5053,NA,NA,4.7,327964.673620887,4310001.23710092,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5090,NA,NA,4.7,327953.306209376,4309996.05229921,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,93,6483,NA,169,4.6,327960.813626517,4309993.20240683,3.918,327962.25,4309993.25,1.43716174913181,0.681999999999999,1.59077273460655,"SG-SWR1"
0,95,6488,NA,238,4.6,327949.454173612,4309986.0872173,3.251,327949.75,4309983.75,2.35586458585477,1.349,2.71475578033912,"SG-SWR1"
0,NA,5094,NA,NA,4.6,327950.204098055,4309995.45962194,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,103,5068,NA,148,4.5,327965.307897916,4309998.36186564,1.65,327967.75,4309996.25,3.22859707608233,2.85,4.3065460730947,"SG-SWR1"
0,111,5073,NA,92,4.5,327964.240000085,4310001.57122452,2.713,327965.75,4310004.75,3.51919213532042,1.787,3.94690793980568,"SG-SWR1"
0,NA,5087,NA,NA,4.5,327958.815926864,4309997.02401776,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5092,NA,NA,4.5,327951.159448699,4309996.75317685,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5109,NA,NA,4.5,327949.430165266,4309989.19725687,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,54,5187,NA,220,4.5,327983.876554819,4309984.5708574,3.43,327984.75,4309986.25,1.89272986436539,1.07,2.17424155499352,"SG-SWR1"
0,51,5038,NA,96,4.4,327977.357631773,4310004.36236888,3.756,327975.75,4310004.75,1.65370426667268,0.644000000000001,1.77467568913631,"SG-SWR1"
0,NA,5142,NA,NA,4.4,327975.473594667,4309998.94494517,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,99,5010,NA,66,4.3,327964.612068272,4310008.42583772,2.318,327963.25,4310009.25,1.59200296483267,1.982,2.54220326489366,"SG-SWR1"
0,NA,5156,NA,NA,4.3,327987.318465757,4309998.14817333,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,38,5163,NA,184,4.3,327986.080989169,4309993.07342038,5.363,327986.25,4309991.25,1.83123634487918,1.063,2.11740302040175,"SG-SWR1"
0,NA,4956,NA,NA,4.2,327985.23022559,4309999.78763386,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,47,5070,NA,138,4.2,327964.355841585,4309999.3705024,4.187,327965.25,4309998.75,1.0883668928903,0.0129999999999999,1.08844452938112,"SG-SWR1"
0,45,5084,NA,135,4.2,327957.332702462,4309999.33239334,4.293,327957.75,4309998.75,0.716463001963965,0.093,0.722473690305202,"SG-SWR1"
0,57,5108,NA,223,4.2,327951.580276629,4309987.46161043,3.154,327950.25,4309985.75,2.16777447232532,1.046,2.40694041531263,"SG-SWR1"
0,NA,5141,NA,NA,4.2,327976.267118486,4310000.04464149,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4957,NA,NA,4.1,327986.528919814,4309998.55265441,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5074,NA,NA,4.1,327963.614800268,4310000.63317106,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,46,5089,NA,167,4.1,327957.396628732,4309993.40775731,4.192,327956.25,4309993.25,1.15743026495725,0.0920000000000005,1.16108088359037,"SG-SWR1"
0,43,5123,NA,226,4.1,327963.022432027,4309984.31542806,4.636,327960.25,4309985.75,3.12159830874334,0.536,3.16728148435678,"SG-SWR1"
0,41,5208,NA,253,4.1,327973.589123587,4309982.2080766,4.81,327973.75,4309981.75,0.485505298035942,0.71,0.860125220198181,"SG-SWR1"
0,NA,5024,NA,NA,4,327971.176305519,4310004.45491366,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,27,5048,NA,77,4,327981.568600674,4310007.2820124,6.806,327980.75,4310007.75,0.94293131276644,2.806,2.96019517272011,"SG-SWR1"
