"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-NES1_p26",233,171,0.733905579399142,81,0.347639484978541,152,90,242,0.347639484978541,0.652360515021459,0.526315789473684,2.73918222721831,1.63834005499544,3.19175146427649,0.473684210526316,0.347639484978541,0.400990099009901,7.95967649115865,"SG-NES1","p26"
"SG-NES1_p27",233,123,0.527896995708155,60,0.257510729613734,173,63,236,0.257510729613734,0.742489270386266,0.51219512195122,2.78075680538681,1.84426359739238,3.33675240726244,0.48780487804878,0.257510729613734,0.337078651685393,9.89903214154524,"SG-NES1","p27"
"SG-NES1_p28",233,153,0.656652360515021,73,0.313304721030043,160,80,240,0.313304721030043,0.686695278969957,0.522875816993464,2.77133012513905,1.63022212117968,3.21525968265189,0.477124183006536,0.313304721030043,0.378238341968912,8.50061806509336,"SG-NES1","p28"
"SG-NES1_p29",233,118,0.506437768240343,59,0.253218884120172,174,59,233,0.253218884120172,0.746781115879828,0.5,2.74407615485424,1.79899627382058,3.28121037680609,0.5,0.253218884120172,0.336182336182336,9.76021052761811,"SG-NES1","p29"
"SG-NES1_p30",233,135,0.579399141630901,68,0.291845493562232,165,67,232,0.291845493562232,0.708154506437768,0.496296296296296,2.81325859184058,1.688949286147,3.28130669028991,0.503703703703704,0.291845493562232,0.369565217391304,8.87882986784329,"SG-NES1","p30"
"SG-NES1_p31",233,115,0.493562231759657,58,0.248927038626609,175,57,232,0.248927038626609,0.751072961373391,0.495652173913044,2.78728322887777,1.7680676525908,3.3007591584545,0.504347826086956,0.248927038626609,0.333333333333333,9.90227747536349,"SG-NES1","p31"
"SG-NES1_p32",233,123,0.527896995708155,64,0.274678111587983,169,59,228,0.274678111587983,0.725321888412017,0.479674796747967,2.82329081834374,1.75469284171048,3.32414169579067,0.520325203252033,0.274678111587983,0.359550561797753,9.24526909141779,"SG-NES1","p32"
"SG-NES1_p33",233,112,0.48068669527897,57,0.244635193133047,176,55,231,0.244635193133047,0.755364806866953,0.491071428571429,2.80076650674864,1.80131644842555,3.33002011595927,0.508928571428571,0.244635193133047,0.330434782608696,10.0776924561925,"SG-NES1","p33"
"SG-NES1_p34",233,118,0.506437768240343,60,0.257510729613734,173,58,231,0.257510729613734,0.742489270386266,0.491525423728814,2.76948025218257,1.76765494370366,3.28551744284355,0.508474576271186,0.257510729613734,0.341880341880342,9.61013852031738,"SG-NES1","p34"
"SG-NES1_p35",233,108,0.463519313304721,55,0.236051502145923,178,53,231,0.236051502145923,0.763948497854077,0.490740740740741,2.79896933426014,1.79708163420586,3.32621883437164,0.509259259259259,0.236051502145923,0.32258064516129,10.3112783865521,"SG-NES1","p35"
"SG-NES1_p36",233,114,0.489270386266094,58,0.248927038626609,175,56,231,0.248927038626609,0.751072961373391,0.491228070175439,2.79857045156623,1.76929108636082,3.31094964030797,0.508771929824561,0.248927038626609,0.334293948126801,9.90430625161092,"SG-NES1","p36"
"SG-NES1_p37",233,104,0.446351931330472,53,0.227467811158798,180,51,231,0.227467811158798,0.772532188841202,0.490384615384615,2.79849581039469,1.84853321760897,3.35390128915572,0.509615384615385,0.227467811158798,0.314540059347181,10.6628748532592,"SG-NES1","p37"
"SG-NES1_p38",233,111,0.476394849785408,57,0.244635193133047,176,54,230,0.244635193133047,0.755364806866953,0.486486486486487,2.80920697591756,1.76992113016867,3.32028080748623,0.513513513513513,0.244635193133047,0.331395348837209,10.0190929629409,"SG-NES1","p38"
"SG-NES1_p39",233,63,0.270386266094421,37,0.158798283261803,196,26,222,0.158798283261803,0.841201716738197,0.412698412698413,2.94338941348358,2.12855360737273,3.63239338437712,0.587301587301587,0.158798283261803,0.25,14.5295735375085,"SG-NES1","p39"
