"treeID.x","src","pair_id","treeID.y","obs","pred","Zobs","Xobs","Yobs","Zpred","dxy","dz","dxyz","site","Site_Tag","Tag_Number","Height","DBH","Crown_Radius","Canopy_Position","X","Y","Reference","Site_Name","Crown_Radius_Mod","Crown_Area","N","Pixel_Code","Class","Classified","DBH_bins"
3599,1,83,3599,2326,NA,25.1,320636.328347438,4305076.18702863,21.37,4.06898639651274,3.73,5.51992303343133,"CC-EMN1","CC-EMN12326",2326,25.1,71,2.5582,"D",-107.067678077033,38.8762529652205,"PIEN","CC-EMN1",2.25234,4.1875,308,46,"","PIEN",NA
3600,1,109,3600,2508,NA,18.9,320648.904727551,4305067.57198682,20.543,3.67488750795615,1.643,4.02544993710419,"CC-EMN1","CC-EMN12508",2508,18.9,26.4,2.0498,"D",-107.067530937332,38.8761779473754,"PIEN","CC-EMN1",2.184526,29.75,309,46,"","PIEN",3
3601,1,84,3601,2534,NA,19.5,320654.532149941,4305069.64234803,20.484,1.64622345284886,0.984000000000002,1.91789146113893,"CC-EMN1","CC-EMN12534",2534,19.5,30.2,2.099,"D",-107.067466645057,38.8761977406427,"PIEN","CC-EMN1",2.179688,13.3125,310,46,"","PIEN",4
3602,1,110,3602,2509,NA,18.6,320643.405499408,4305072.25286942,20.075,2.78483384149972,1.475,3.15133694243603,"CC-EMN1","CC-EMN12509",2509,18.6,33.8,2.0252,"D",-107.067595515092,38.8762189796901,"PIEN","CC-EMN1",2.14615,26.1875,311,46,"","PIEN",4
3775,1,1,3775,1311,NA,33.3,323407.854602033,4303280.91059831,33.58,3.78242499151856,0.280000000000001,3.79277455386742,"CC-CVS1","CC-CVS11311",1311,33.3,50.4,3.2306,"D",-107.035285979905,38.8606461776424,"PIEN","CC-CVS1",3.25356,9.625,312,46,"","PIEN",NA
3776,1,2,3776,1248,NA,29.9,323398.989214752,4303294.06107394,32.069,2.82198886618871,2.169,3.55923898620099,"CC-CVS1","CC-CVS11248",1248,29.9,45.4,2.9518,"D",-107.035391474224,38.8607628288904,"PIEN","CC-CVS1",3.129658,25.0625,313,46,"","PIEN",5
3777,1,3,3777,1250,NA,32.5,323394.087297455,4303290.69020754,30.31,4.63721980174953,2.19,5.12834354248406,"CC-CVS1","CC-CVS11250",1250,32.5,53.9,3.165,"D",-107.035447071619,38.8607314868942,"PIEN","CC-CVS1",2.98542,9.375,314,46,"","PIEN",NA
3778,1,4,3778,1019,NA,28.6,323395.018576871,4303312.89801332,28.882,1.42450290980205,0.282,1.45214756138435,"CC-CVS1","CC-CVS11019",1019,28.6,43.8,2.8452,"D",-107.035442048744,38.8609316745884,"PIEN","CC-CVS1",2.868324,19.25,315,46,"","PIEN",5
3779,1,5,3779,1309,NA,26.4,323400.973048381,4303277.18322467,28.393,2.02123485954647,1.993,2.83856290355628,"CC-CVS1","CC-CVS11309",1309,26.4,40.4,2.6648,"D",-107.035364288283,38.8606112275022,"PIEN","CC-CVS1",2.828226,10.375,316,46,"","PIEN",5
3780,1,NA,3780,NA,NA,NA,NA,NA,28.276,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.818632,6.5,317,46,"","PIEN",NA
3781,1,NA,3781,NA,NA,NA,NA,NA,28.236,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.815352,9.375,318,46,"","PIEN",NA
3782,1,6,3782,1229,NA,26.9,323413.687883447,4303294.56705803,27.552,3.23219656431674,0.652000000000001,3.29730171964607,"CC-CVS1","CC-CVS11229",1229,26.9,44.8,2.7058,"D",-107.035222296101,38.8607703373394,"PIEN","CC-CVS1",2.759264,21.9375,319,46,"","PIEN",5
3783,1,7,3783,1260,NA,27.4,323391.208686421,4303298.08423232,27.353,2.59635946737522,0.046999999999997,2.59678483587473,"CC-CVS1","CC-CVS11260",1260,27.4,40,2.7468,"D",-107.035482128383,38.8607974984454,"PIEN","CC-CVS1",2.742946,10.1875,320,46,"","PIEN",4
3784,1,8,3784,1215,NA,26.4,323406.963884552,4303300.70134121,26.596,1.89206421637659,0.196000000000002,1.90218900188514,"CC-CVS1","CC-CVS11215",1215,26.4,34.9,2.6648,"D",-107.03530132266,38.8608242317112,"PIEN","CC-CVS1",2.680872,11.625,321,46,"","PIEN",4
3786,1,NA,3786,NA,NA,NA,NA,NA,25.778,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.613796,9.875,322,46,"","PIEN",NA
3787,1,NA,3787,NA,NA,NA,NA,NA,25.694,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.606908,3.3125,323,45,"Evergreen forest","ABLA",NA
3791,1,NA,3791,NA,NA,NA,NA,NA,24.674,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.523268,24.5,324,46,"","PIEN",NA
3793,1,NA,3793,NA,NA,NA,NA,NA,24.405,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50121,3.25,325,20,"Urban",NA,NA
3801,1,NA,3801,NA,NA,NA,NA,NA,23.476,NA,NA,NA,"CC-CVS1","CC-CVS1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.425032,18.75,326,46,"","PIEN",NA
4047,1,NA,4047,NA,NA,NA,NA,NA,28.133,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.806906,13.5625,327,46,"","PIEN",NA
4048,1,1,4048,1499,NA,28,319947.371872388,4303402.19464401,27.92,2.68004386048694,0.0799999999999983,2.68123760493801,"CC-CVN1","CC-CVN11499",1499,28,52.3,2.796,"D",-107.075176895019,38.8610367368974,"PIEN","CC-CVN1",2.78944,23.375,328,46,"","PIEN",NA
4049,1,2,4049,1464,NA,26.5,319926.698999238,4303404.32858391,27.023,2.59347535533039,0.523,2.64568392267596,"CC-CVN1","CC-CVN11464",1464,26.5,42.8,2.673,"D",-107.075415571355,38.8610517215604,"PIEN","CC-CVN1",2.715886,14.6875,329,46,"","PIEN",5
4050,1,110,4050,1585,NA,25.9,319945.533466478,4303417.02732646,26.972,4.29983189961768,1.072,4.43144878848552,"CC-CVN1","CC-CVN11585",1585,25.9,50.2,2.6238,"D",-107.075201954685,38.8611699384064,"PIEN","CC-CVN1",2.711704,16.25,330,46,"","PIEN",NA
4051,1,NA,4051,NA,NA,NA,NA,NA,26.732,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.692024,4.0625,331,46,"","PIEN",NA
4052,1,3,4052,1516,NA,27.4,319955.679450477,4303412.45551533,26.465,1.36386153213909,0.934999999999999,1.65358497781299,"CC-CVN1","CC-CVN11516",1516,27.4,51.7,2.7468,"D",-107.075083892258,38.8611308435645,"PIEN","CC-CVN1",2.67013,6.1875,332,46,"","PIEN",NA
4053,1,NA,4053,NA,NA,NA,NA,NA,26.46,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66972,6.5,333,46,"","PIEN",NA
4054,1,4,4054,1423,NA,28.1,319952.870672629,4303399.29776665,26.262,2.62542072732376,1.838,3.20485225797715,"CC-CVN1","CC-CVN11423",1423,28.1,43,2.8042,"D",-107.07511279931,38.8610117744567,"PIEN","CC-CVN1",2.653484,22.0625,334,46,"","PIEN",5
4055,1,5,4055,1528,NA,26,319957.624591967,4303423.47048561,25.636,3.33861496133069,0.364000000000001,3.3583993002651,"CC-CVN1","CC-CVN11528",1528,26,45.5,2.632,"D",-107.07506437172,38.861230438744,"PIEN","CC-CVN1",2.602152,10.1875,335,46,"","PIEN",5
4056,1,NA,4056,NA,NA,NA,NA,NA,25.123,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.560086,16.75,336,46,"","PIEN",NA
4057,1,NA,4057,NA,NA,NA,NA,NA,25.071,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.555822,17.125,337,45,"Evergreen forest","ABLA",NA
4058,1,NA,4058,NA,NA,NA,NA,NA,24.488,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.508016,12.8125,338,46,"","PIEN",NA
4059,1,6,4059,1454,NA,24.6,319928.50480873,4303402.91591565,24.445,2.84467095445728,0.155000000000001,2.84889063305927,"CC-CVN1","CC-CVN11454",1454,24.6,58.1,2.5172,"D",-107.075394401428,38.8610393693351,"PIEN","CC-CVN1",2.50449,7.0625,339,46,"","PIEN",NA
4060,1,NA,4060,NA,NA,NA,NA,NA,24.331,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.495142,5.0625,340,46,"","PIEN",NA
4061,1,7,4061,1439,NA,26.9,319938.350695745,4303396.20128579,24.288,3.60102526038736,2.612,4.44858707073919,"CC-CVN1","CC-CVN11439",1439,26.9,42.2,2.7058,"D",-107.075279234583,38.8609809157691,"PIEN","CC-CVN1",2.491616,21.3125,341,46,"","PIEN",5
4062,1,NA,4062,NA,NA,NA,NA,NA,23.963,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.464966,4,342,46,"","PIEN",NA
4063,1,92,4063,1583,NA,23.3,319942.774485715,4303413.16132318,23.958,2.1535217995448,0.657999999999998,2.25180375279789,"CC-CVN1","CC-CVN11583",1583,23.3,36.8,2.4106,"D",-107.075232721249,38.861134557653,"ABLA","CC-CVN1",2.464556,10.6875,343,46,"","PIEN",4
4064,1,NA,4064,NA,NA,NA,NA,NA,23.943,NA,NA,NA,"CC-CVN1","CC-CVN1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.463326,17.6875,344,46,"","PIEN",NA
4065,1,8,4065,1571,NA,21.6,319956.144863751,4303426.96401596,23.533,0.449132736045461,1.933,1.98449218053075,"CC-CVN1","CC-CVN11571",1571,21.6,44.1,2.2712,"D",-107.07508233061,38.8612615973001,"PIEN","CC-CVN1",2.429706,28.4375,345,46,"","PIEN",5
